id,entity_type,entity_id,broadcast_company_id,broadcast_company_name,division_conference_id,division_conference_name,territory,start_date,end_date,is_exclusive,created_at,updated_at
3f6341e4-8b4a-4a14-b2ea-62809a413cd8,Conference,716e6986-ad73-4a1f-b6eb-e08312c28afe,1c3f9116-2795-48d7-904b-cfe685d9e913,Atlantic Coast Conference (ACC),,,USA,2019-01-01,2036-12-31,False,2025-03-15 00:44:20.813654+00:00,2025-03-15 00:44:20.813656+00:00
c1212ea9-943b-4c42-b842-0649091716e5,Conference,94c8a7eb-78b3-45a7-b509-972b9fb57208,fb0b67c1-50dc-4971-ae3f-0da505efd4f0,American Athletic Conference (AAC),,,USA,2020-01-01,2031-12-31,False,2025-03-15 00:43:54.054666+00:00,2025-03-15 00:43:54.054667+00:00
224e5f52-24a1-4515-a502-8473ec13e613,Conference,716e6986-ad73-4a1f-b6eb-e08312c28afe,f344288b-0558-45c4-a6af-af435ae4bddd,ESPN,716e6986-ad73-4a1f-b6eb-e08312c28afe,Atlantic,USA,2019-01-01,2036-12-31,False,2025-03-14 22:27:32.406689+00:00,2025-03-14 22:27:32.406691+00:00
c543a48a-1917-4bd6-9a44-a63e0bf7b021,Conference,94c8a7eb-78b3-45a7-b509-972b9fb57208,f344288b-0558-45c4-a6af-af435ae4bddd,ESPN,94c8a7eb-78b3-45a7-b509-972b9fb57208,American Athletic Conference (AAC),USA,2020-01-01,2031-12-31,False,2025-03-14 22:25:29.885538+00:00,2025-03-14 22:25:29.885540+00:00
a3ca264f-9bda-4a94-b2c9-c7b617a51db3,League,dbd39228-dcbe-4047-a17c-1ea28e3f7c81,af7ed9fd-88a9-4430-9218-b88588f43e53,RDS,a93a941f-423a-42c8-8160-4026d3d10573,League,Canada,2023-01-01,2026-12-31,False,2025-03-14 20:07:52.958667+00:00,2025-03-14 20:07:52.958669+00:00
59ce9e5c-3d82-4273-873e-23e939afee74,League,dbd39228-dcbe-4047-a17c-1ea28e3f7c81,f97557b0-5a27-4511-9419-905bbf67639d,TSN,a93a941f-423a-42c8-8160-4026d3d10573,League,Canada,2023-01-01,2026-12-31,False,2025-03-14 20:07:44.907374+00:00,2025-03-14 20:07:44.907376+00:00
9da3bee9-519a-4486-8a24-9a1a826cba32,League,dbd39228-dcbe-4047-a17c-1ea28e3f7c81,7431aa28-ade3-4d80-ad33-b723afc48dfb,FOX Deportes,a93a941f-423a-42c8-8160-4026d3d10573,League,United States,2023-01-01,2026-12-31,False,2025-03-14 20:07:42.246035+00:00,2025-03-14 20:07:42.246036+00:00
85112903-21d5-42db-aee2-de5f54e63e82,League,dbd39228-dcbe-4047-a17c-1ea28e3f7c81,887b26fc-eb6b-407d-bf83-62f4b2c2fdd6,FOX Sports,a93a941f-423a-42c8-8160-4026d3d10573,League,United States,2023-01-01,2026-12-31,False,2025-03-14 20:07:35.149849+00:00,2025-03-14 20:07:35.149852+00:00
ddd08b0e-560d-4019-97fa-40968de05800,League,dbd39228-dcbe-4047-a17c-1ea28e3f7c81,9c300d35-4476-4716-9d48-ddff31ee5a4f,Apple Inc.,a93a941f-423a-42c8-8160-4026d3d10573,League,Global,2023-01-01,2032-12-31,True,2025-03-14 20:07:19.206381+00:00,2025-03-14 20:07:19.206384+00:00
